Time, Inputs, Actual State, Measurements, Filtered
0, 0, 5.0068, 5.2899, 0.204436
0.10101, 0.100838, 5.01256, 4.71011, 0.458151
0.20202, 0.200649, 5.01089, 4.78866, 0.775015
0.30303, 0.298414, 5.01613, 5.145, 1.1649
0.40404, 0.393137, 5.02053, 5.47276, 1.6158
0.50505, 0.483852, 5.03991, 5.25721, 2.05585
0.606061, 0.569634, 5.04891, 4.56522, 2.40979
0.707071, 0.64961, 5.06585, 5.37003, 2.86016
0.808081, 0.722963, 5.08684, 4.71663, 3.19733
0.909091, 0.788945, 5.1139, 4.83215, 3.52955
1.0101, 0.846886, 5.15793, 5.27057, 3.90327
1.11111, 0.896192, 5.20676, 5.23105, 4.23693
1.21212, 0.936363, 5.26879, 5.06131, 4.50852
1.31313, 0.966988, 5.34668, 5.61659, 4.84378
1.41414, 0.987755, 5.42687, 5.21019, 5.06855
1.51515, 0.998452, 5.51677, 5.93579, 5.39228
1.61616, 0.998971, 5.61161, 5.63761, 5.61934
1.71717, 0.989306, 5.71767, 5.88089, 5.85778
1.81818, 0.969556, 5.84908, 5.41326, 5.97377
1.91919, 0.939922, 5.97249, 5.53559, 6.09133
2.0202, 0.900706, 6.10958, 6.51179, 6.37124
2.12121, 0.852307, 6.26887, 6.30863, 6.56842
2.22222, 0.79522, 6.4267, 6.43923, 6.75634
2.32323, 0.730026, 6.59885, 6.13813, 6.85245
2.42424, 0.65739, 6.77376, 7.20457, 7.13259
2.52525, 0.578053, 6.96178, 7.20032, 7.36381
2.62626, 0.492822, 7.15353, 7.34139, 7.58005
2.72727, 0.402567, 7.34044, 7.72051, 7.82892
2.82828, 0.308209, 7.54451, 7.27348, 7.94367
2.92929, 0.210709, 7.75261, 7.93928, 8.16013
3.0303, 0.11106, 7.96378, 8.12109, 8.36867
3.13131, 0.0102794, 8.17429, 8.59826, 8.62764
3.23232, -0.0906061, 8.37557, 8.55978, 8.82789
3.33333, -0.190568, 8.58682, 8.30264, 8.93408
3.43434, -0.288587, 8.79692, 8.44458, 9.03773
3.53535, -0.383664, 9.00359, 8.93554, 9.20772
3.63636, -0.47483, 9.20147, 9.48747, 9.44637
3.73737, -0.561155, 9.38793, 9.11404, 9.56117
3.83838, -0.64176, 9.56627, 9.62271, 9.74339
3.93939, -0.715822, 9.74232, 10.1491, 9.98674
4.0404, -0.782587, 9.90429, 9.89974, 10.1293
4.14141, -0.841375, 10.0708, 10.5058, 10.354
4.24242, -0.891584, 10.2284, 10.4782, 10.5242
4.34343, -0.932705, 10.3705, 10.1028, 10.579
4.44444, -0.964317, 10.5072, 10.1596, 10.6207
4.54545, -0.986099, 10.6367, 10.9302, 10.7926
4.64646, -0.997828, 10.7442, 10.3188, 10.8038
4.74747, -0.999385, 10.858, 10.8795, 10.9092
4.84848, -0.990753, 10.9454, 11.2432, 11.0572
4.94949, -0.972022, 11.0334, 11.5008, 11.2212
5.05051, -0.943381, 11.1103, 10.7037, 11.1913
5.15152, -0.905124, 11.1681, 10.7463, 11.1621
5.25253, -0.857639, 11.2156, 11.177, 11.2109
5.35354, -0.801411, 11.2689, 11.5245, 11.3114
5.45455, -0.737013, 11.299, 11.799, 11.4425
5.55556, -0.665102, 11.3241, 10.9496, 11.3788
5.65657, -0.58641, 11.3592, 11.7297, 11.4707
5.75758, -0.501741, 11.369, 11.7921, 11.5554
5.85859, -0.411956, 11.3833, 11.0464, 11.4753
5.9596, -0.317972, 11.3887, 11.7084, 11.5328
6.06061, -0.220746, 11.3912, 11.4706, 11.5317
6.16162, -0.12127, 11.3934, 10.993, 11.4341
6.26263, -0.0205577, 11.3963, 11.2006, 11.3901
6.36364, 0.080364, 11.4088, 11.7864, 11.4678
6.46465, 0.180467, 11.4173, 10.9527, 11.3704
6.56566, 0.27873, 11.4279, 11.8533, 11.466
6.66667, 0.374151, 11.4445, 11.9239, 11.5638
6.76768, 0.465758, 11.4629, 11.9465, 11.6544
6.86869, 0.552617, 11.4852, 11.1492, 11.5772
6.9697, 0.633843, 11.5163, 11.0933, 11.5033
7.07071, 0.708607, 11.5509, 11.6804, 11.5597
7.17172, 0.776147, 11.5837, 11.4005, 11.5569
7.27273, 0.835774, 11.6266, 11.2007, 11.5195
7.37374, 0.886882, 11.6834, 11.8346, 11.6172
7.47475, 0.928948, 11.7461, 11.5262, 11.6447
7.57576, 0.961545, 11.8198, 11.4331, 11.6543
7.67677, 0.984339, 11.902, 12.3463, 11.8471
7.77778, 0.997098, 11.9938, 12.3415, 12.0151
7.87879, 0.999692, 12.0949, 11.9399, 12.083
7.9798, 0.992096, 12.2084, 11.9423, 12.1441
8.08081, 0.974385, 12.3339, 12.3158, 12.2722
8.18182, 0.946741, 12.4618, 12.1443, 12.3497
8.28283, 0.909446, 12.6058, 12.5198, 12.4909
8.38384, 0.862879, 12.7596, 12.8972, 12.6863
8.48485, 0.807517, 12.9153, 13.0244, 12.8779
8.58586, 0.743922, 13.0841, 12.9125, 13.018
8.68687, 0.672743, 13.263, 13.684, 13.2873
8.78788, 0.594705, 13.447, 13.2043, 13.4192
8.88889, 0.510606, 13.6342, 13.3947, 13.5647
8.9899, 0.421301, 13.8325, 13.4263, 13.6898
9.09091, 0.327701, 14.0201, 14.0968, 13.9224
9.19192, 0.23076, 14.2204, 14.0092, 14.0967
9.29293, 0.131468, 14.4269, 14.2566, 14.2862
9.39394, 0.0308341, 14.6227, 14.1262, 14.4133
9.49495, -0.0701138, 14.8324, 14.5206, 14.5897
9.59596, -0.170347, 15.0333, 15.4522, 14.9136
9.69697, -0.268843, 15.24, 14.8611, 15.0625
9.79798, -0.364598, 15.4428, 15.7171, 15.3461
9.89899, -0.456637, 15.6469, 16.0088, 15.6332
10, -0.544021, 15.8324, 15.8804, 15.8393
